StartTime,FromNode,ToNode,SourcePort,DestinationPort,Size,Priority
1000212113ns,h24,h16,1,1,4400B,0
1000213882ns,h24,h11,1,1,16897B,0
1000214858ns,h19,h7,1,2,23040B,0
1000215814ns,h13,h24,1,3,30432B,0
1000222291ns,h30,h1,1,1,7115B,0
1000224583ns,h31,h9,1,2,92572B,0
1000226795ns,h7,h20,1,1,7028B,0
1000232889ns,h25,h8,1,1,5912B,0
1000235313ns,h25,h12,1,1,7724B,0
1000236743ns,h25,h6,1,1,1735776B,0
1000239586ns,h15,h27,1,1,44801B,0
1000246612ns,h16,h30,1,2,15103B,0
1000252960ns,h15,h18,1,1,1436B,0
1000254743ns,h30,h4,1,1,7314B,0
1000254810ns,h31,h5,1,1,6222B,0
1000255261ns,h16,h24,1,1,7464B,0
1000256546ns,h28,h2,1,1,22324B,0
1000256768ns,h16,h19,1,1,4118B,0
1000260088ns,h12,h17,1,1,10764B,0
1000261115ns,h2,h20,1,1,2043B,0
1000261965ns,h9,h23,1,1,3845B,0
1000262781ns,h29,h4,1,1,15191B,0
1000263766ns,h16,h29,1,1,4892B,0
1000265621ns,h18,h3,1,1,17592B,0
1000265846ns,h4,h28,1,2,1755B,0
1000268422ns,h15,h20,1,1,2553B,0
1000268473ns,h4,h18,1,2,8390B,0
1000271914ns,h13,h17,1,1,789B,0
1000273646ns,h23,h7,1,1,6978B,0
1000275378ns,h15,h22,1,1,37559B,0
1000275820ns,h19,h4,1,1,6635B,0
1000276768ns,h16,h32,1,2,7900B,0
1000277208ns,h1,h23,1,1,465B,0
1000277431ns,h2,h18,1,1,7506B,0
1000279667ns,h27,h1,1,1,7258B,0
1000279770ns,h12,h30,1,1,6996B,0
1000279787ns,h24,h4,1,1,5399B,0
1000280419ns,h11,h25,1,1,5217B,0
1000283680ns,h12,h19,1,2,624333B,0
1000286382ns,h8,h24,1,2,634B,0
1000286453ns,h13,h19,1,2,377B,0
1000289347ns,h1,h26,1,1,114827B,0
1000289847ns,h3,h28,1,1,3226B,0
1000290980ns,h29,h14,1,1,2161B,0
1000292023ns,h5,h22,1,1,3673B,0
1000292803ns,h28,h2,1,2,15624B,0
1000292855ns,h10,h31,1,1,67297B,0
1000297057ns,h6,h18,1,2,397B,0
1000297515ns,h14,h20,1,1,5696B,0
1000300257ns,h26,h13,1,2,1770B,0
1000302412ns,h3,h23,1,1,4264B,0
1000302662ns,h22,h9,1,1,3852B,0
1000302682ns,h23,h12,1,1,7609B,0
1000303500ns,h23,h16,1,1,5045B,0
1000305253ns,h8,h22,1,1,3145B,0
1000311080ns,h12,h23,1,1,6371B,0
1000311424ns,h18,h2,1,1,686B,0
1000314138ns,h12,h22,1,1,1760B,0
1000321305ns,h3,h22,1,1,1169315B,0
1000321458ns,h6,h27,1,1,3477B,0
1000321989ns,h21,h9,1,1,5117B,0
1000326408ns,h14,h20,1,2,10771B,0
1000326515ns,h5,h31,1,2,21229B,0
1000327533ns,h1,h22,1,1,46412B,0
1000330042ns,h9,h17,1,1,2955B,0
1000332020ns,h8,h32,1,2,7831B,0
1000332095ns,h12,h30,1,2,125726B,0
1000332696ns,h29,h10,1,1,1012B,0
1000332985ns,h18,h12,1,1,7862B,0
1000339315ns,h10,h29,1,1,22381B,0
1000339414ns,h10,h25,1,2,4976B,0
1000344189ns,h21,h5,1,1,4184B,0
1000345848ns,h13,h17,1,2,7176B,0
1000347590ns,h20,h15,1,1,5841B,0
1000347856ns,h28,h3,1,2,3049B,0
1000349851ns,h6,h27,1,2,6094B,0
1000350453ns,h2,h18,1,2,5560B,0
1000353380ns,h10,h25,1,3,6937B,0
1000353524ns,h24,h5,1,1,6414B,0
1000355509ns,h14,h24,1,1,4709B,0
1000356436ns,h22,h16,1,1,5105B,0
1000360231ns,h30,h12,1,1,21121B,0
1000361385ns,h15,h26,1,1,4186B,0
1000363743ns,h13,h28,1,1,6863B,0
1000364205ns,h12,h21,1,2,216B,0
1000364517ns,h15,h26,1,2,11471B,0
1000367629ns,h32,h13,1,1,4921B,0
1000367690ns,h29,h14,1,2,797B,0
1000370807ns,h21,h3,1,1,4445B,0
1000375738ns,h15,h17,1,1,4093B,0
1000378973ns,h28,h7,1,1,99218B,0
1000383826ns,h12,h27,1,2,5062B,0
1000387175ns,h24,h6,1,1,4506B,0
1000388373ns,h10,h24,1,2,5122B,0
1000391856ns,h22,h8,1,1,86925B,0
1000391984ns,h23,h15,1,2,7495B,0
1000393214ns,h1,h29,1,1,7386B,0
1000393499ns,h9,h30,1,1,9650B,0
1000394975ns,h19,h2,1,1,5371B,0
1000401790ns,h18,h13,1,1,5599B,0
1000402286ns,h13,h30,1,1,7643B,0
1000402510ns,h11,h18,1,1,26B,0
1000405361ns,h2,h22,1,1,3354B,0
1000407117ns,h9,h31,1,1,4908B,0
1000407985ns,h13,h19,1,3,4087B,0
1000411371ns,h29,h9,1,1,7527B,0
1000411634ns,h24,h6,1,2,5290B,0
1000413926ns,h20,h15,1,2,27249B,0
1000414246ns,h8,h32,1,3,6928B,0
1000414400ns,h8,h17,1,1,5599B,0
1000416664ns,h32,h2,1,1,5494B,0
1000419143ns,h26,h16,1,2,8682B,0
1000424701ns,h21,h11,1,1,5632B,0
1000425871ns,h26,h10,1,2,7741B,0
1000427340ns,h24,h15,1,1,816B,0
1000428447ns,h12,h18,1,1,5867B,0
1000429506ns,h10,h30,1,1,4258B,0
1000431199ns,h30,h7,1,1,2750B,0
1000432978ns,h21,h3,1,2,6577B,0
1000434638ns,h14,h21,1,1,6229B,0
1000435561ns,h31,h1,1,1,6870B,0
1000436223ns,h29,h13,1,1,12448B,0
1000438101ns,h30,h14,1,1,28620B,0
1000440700ns,h16,h27,1,1,6292B,0
1000440719ns,h9,h17,1,2,4715B,0
1000441109ns,h31,h7,1,1,6053B,0
1000448938ns,h25,h1,1,1,16478B,0
1000449926ns,h12,h17,1,2,27183B,0
1000450473ns,h31,h4,1,1,17024B,0
1000457226ns,h29,h7,1,1,3279B,0
1000465806ns,h32,h4,1,2,1959073B,0
1000467354ns,h18,h7,1,1,7489B,0
1000467682ns,h14,h26,1,1,1456B,0
1000467840ns,h15,h25,1,1,10347B,0
1000468580ns,h18,h6,1,1,1069500B,0
1000470396ns,h14,h20,1,3,5491B,0
1000477549ns,h30,h16,1,1,7882B,0
1000478346ns,h31,h13,1,1,4750B,0
1000482191ns,h13,h19,1,4,3724B,0
1000484320ns,h7,h17,1,1,9770B,0
1000484997ns,h13,h25,1,2,41B,0
1000486051ns,h6,h31,1,1,18698B,0
1000487061ns,h11,h20,1,1,6584B,0
1000487143ns,h32,h9,1,1,1705B,0
1000494383ns,h26,h5,1,1,2074B,0
1000496545ns,h20,h12,1,1,7629B,0
1000497051ns,h25,h4,1,1,26962B,0
1000500126ns,h22,h5,1,1,4438B,0
1000501846ns,h27,h9,1,1,483015B,0
1000502648ns,h1,h17,1,1,1747B,0
1000503232ns,h1,h18,1,1,23762B,0
1000513938ns,h1,h18,1,2,5446B,0
1000515362ns,h22,h7,1,1,1419B,0
1000518484ns,h5,h25,1,1,4392B,0
1000518722ns,h12,h27,1,3,5933B,0
1000519767ns,h28,h12,1,1,15034B,0
1000521427ns,h3,h18,1,1,24967B,0
1000522021ns,h18,h16,1,1,2327B,0
1000522689ns,h17,h15,1,1,6520B,0
1000524178ns,h3,h30,1,1,7642B,0
1000527012ns,h20,h12,1,2,5017B,0
1000527533ns,h8,h22,1,2,26671B,0
1000527970ns,h23,h7,1,2,4424B,0
1000533723ns,h18,h13,1,2,324B,0
1000540459ns,h1,h26,1,2,709B,0
1000542553ns,h15,h17,1,2,7904B,0
1000543486ns,h16,h21,1,1,6844B,0
1000545720ns,h12,h21,1,3,86128B,0
1000545787ns,h15,h25,1,2,70200B,0
1000546530ns,h3,h27,1,1,37386B,0
1000547535ns,h25,h11,1,1,732B,0
1000550593ns,h15,h28,1,1,12002B,0
1000550680ns,h23,h3,1,1,8647B,0
1000555710ns,h6,h27,1,3,7682B,0
1000556430ns,h16,h18,1,1,9421B,0
1000557526ns,h23,h2,1,1,31677B,0
1000558379ns,h1,h25,1,1,7550B,0
1000558773ns,h21,h6,1,2,5237B,0
1000558984ns,h4,h21,1,1,6667B,0
1000559692ns,h27,h10,1,2,3625B,0
1000559850ns,h20,h12,1,3,7092B,0
1000561216ns,h26,h13,1,3,155B,0
1000562617ns,h24,h5,1,2,2634B,0
1000564016ns,h13,h26,1,1,4899B,0
1000568541ns,h11,h20,1,2,14843B,0
1000569924ns,h9,h32,1,1,9852B,0
1000573578ns,h25,h8,1,2,4941B,0
1000574746ns,h7,h18,1,1,7381B,0
1000576241ns,h18,h10,1,1,718B,0
1000579528ns,h8,h22,1,3,2858B,0
1000580280ns,h3,h19,1,1,723001B,0
1000583131ns,h28,h10,1,2,4520B,0
1000583981ns,h8,h29,1,2,5430B,0
1000584717ns,h26,h11,1,2,6758B,0
1000585232ns,h26,h10,1,3,4554B,0
1000585621ns,h15,h30,1,2,6150B,0
1000586065ns,h3,h20,1,1,4089B,0
1000586307ns,h21,h4,1,1,841B,0
1000588107ns,h8,h32,1,4,3132B,0
1000591583ns,h29,h16,1,1,6538B,0
1000594132ns,h12,h27,1,4,1236B,0
1000596211ns,h20,h11,1,2,5502B,0
1000598441ns,h16,h20,1,1,4857B,0
1000601375ns,h5,h32,1,1,5602B,0
1000601630ns,h4,h20,1,1,1733B,0
1000604372ns,h25,h16,1,1,36138B,0
1000617298ns,h22,h14,1,1,6114B,0
1000617964ns,h26,h2,1,1,21638B,0
1000621145ns,h5,h26,1,2,321626B,0
1000622279ns,h26,h11,1,3,4988B,0
1000624985ns,h3,h21,1,3,6158B,0
1000626251ns,h20,h6,1,1,8525B,0
1000630096ns,h12,h29,1,1,5704B,0
1000630161ns,h21,h3,1,3,4627B,0
1000633480ns,h15,h19,1,1,10993B,0
1000634366ns,h9,h19,1,1,30328B,0
1000635697ns,h31,h7,1,2,47674B,0
1000638333ns,h27,h8,1,1,7435B,0
1000638439ns,h21,h2,1,1,5264B,0
1000638509ns,h31,h13,1,2,243545B,0
1000639509ns,h32,h1,1,1,7540B,0
1000641270ns,h25,h4,1,2,1148B,0
1000642845ns,h18,h13,1,3,1477B,0
1000645599ns,h8,h26,1,1,12054B,0
1000646330ns,h22,h15,1,1,1066B,0
1000648856ns,h31,h16,1,2,136B,0
1000649397ns,h24,h7,1,1,5421B,0
1000649551ns,h9,h30,1,2,6503B,0
1000653935ns,h32,h3,1,3,5894B,0
1000654343ns,h21,h12,1,1,6241B,0
1000656329ns,h8,h24,1,3,7073B,0
1000659842ns,h30,h9,1,1,7889B,0
1000659901ns,h24,h6,1,3,5674B,0
1000661870ns,h14,h30,1,1,5201B,0
1000665536ns,h20,h7,1,1,1185125B,0
1000665950ns,h29,h12,1,1,4273B,0
1000666661ns,h15,h20,1,2,13964B,0
1000672322ns,h25,h3,1,2,5745B,0
1000673749ns,h28,h1,1,1,5116B,0
1000677709ns,h23,h15,1,3,1113B,0
1000680636ns,h10,h23,1,1,25327B,0
1000681415ns,h15,h20,1,3,8695B,0
1000683601ns,h9,h32,1,2,31725B,0
1000685357ns,h24,h13,1,2,5921B,0
1000687718ns,h24,h9,1,3,7868B,0
1000688452ns,h2,h23,1,1,2074B,0
1000689893ns,h28,h2,1,3,5457B,0
1000694538ns,h18,h7,1,2,3615B,0
1000698219ns,h24,h5,1,3,734B,0
1000699785ns,h4,h20,1,2,89010B,0
1000701056ns,h8,h23,1,1,3766B,0
1000701447ns,h26,h15,1,1,2553B,0
1000703979ns,h12,h29,1,2,3453B,0
1000704902ns,h23,h12,1,2,5285B,0
1000705937ns,h26,h5,1,2,6740B,0
1000706992ns,h14,h20,1,4,2639B,0
1000707866ns,h2,h32,1,1,1201423B,0
1000708566ns,h26,h5,1,3,798914B,0
1000709573ns,h26,h13,1,4,2588B,0
1000709762ns,h12,h30,1,3,5526B,0
1000710578ns,h2,h32,1,2,7894B,0
1000710685ns,h20,h11,1,3,27611B,0
1000711022ns,h13,h32,1,2,6299B,0
1000712201ns,h6,h32,1,1,44911B,0
1000721221ns,h20,h7,1,2,4805B,0
1000722033ns,h2,h24,1,1,6326B,0
1000723667ns,h14,h17,1,1,6327B,0
1000728430ns,h32,h11,1,1,7809B,0
1000733448ns,h11,h27,1,1,3523B,0
1000733856ns,h25,h11,1,2,7288B,0
1000736007ns,h12,h18,1,2,3816B,0
1000751405ns,h5,h25,1,2,4958B,0
1000755406ns,h24,h5,1,4,117859B,0
1000767204ns,h20,h13,1,1,31076B,0
1000769311ns,h14,h26,1,2,17950B,0
1000777553ns,h3,h32,1,1,618B,0
1000780818ns,h13,h19,1,5,2588B,0
1000782296ns,h20,h3,1,1,4238B,0
1000782591ns,h4,h18,1,3,14460B,0
1000784210ns,h32,h3,1,4,21879B,0
1000785081ns,h17,h8,1,1,7056B,0
1000790154ns,h28,h5,1,1,9826B,0
1000791725ns,h21,h2,1,2,16155B,0
1000795054ns,h9,h26,1,1,1157B,0
1000802898ns,h1,h17,1,2,1476B,0
1000802913ns,h1,h31,1,2,26189B,0
1000807666ns,h11,h27,1,2,687B,0
1000808648ns,h8,h22,1,4,3926B,0
1000814828ns,h7,h21,1,1,708B,0
1000815334ns,h18,h15,1,1,266B,0
1000816379ns,h32,h13,1,2,22142B,0
1000819266ns,h7,h18,1,2,4875B,0
1000819441ns,h14,h19,1,2,2803B,0
1000822633ns,h30,h3,1,1,2596B,0
1000825336ns,h20,h14,1,1,7688B,0
1000826836ns,h30,h7,1,2,143128B,0
1000827849ns,h8,h26,1,2,6382B,0
1000828744ns,h12,h30,1,4,31414B,0
1000831045ns,h26,h16,1,3,6360B,0
1000831339ns,h15,h29,1,1,6978B,0
1000831615ns,h27,h8,1,2,7883B,0
1000833732ns,h15,h17,1,3,15930B,0
1000834780ns,h26,h1,1,1,12613B,0
1000835741ns,h30,h6,1,1,1331529B,0
1000837244ns,h3,h26,1,1,11850B,0
1000837762ns,h23,h9,1,1,33130B,0
1000840792ns,h25,h3,1,3,3595B,0
1000841268ns,h5,h32,1,2,6645B,0
1000842810ns,h17,h9,1,1,7191B,0
1000848495ns,h23,h10,1,1,19179B,0
1000849977ns,h8,h30,1,1,6185B,0
1000851645ns,h23,h13,1,1,14943B,0
1000853555ns,h7,h29,1,1,5376B,0
1000853895ns,h11,h18,1,2,7086B,0
1000855713ns,h7,h22,1,2,23337B,0
1000862377ns,h23,h5,1,1,15435B,0
1000865021ns,h9,h24,1,1,7696B,0
1000866995ns,h27,h10,1,3,4B,0
1000869652ns,h23,h11,1,1,3174B,0
1000873319ns,h2,h18,1,3,6398B,0
1000874778ns,h17,h2,1,1,4217B,0
1000877998ns,h15,h30,1,3,1144B,0
1000882345ns,h19,h5,1,1,24727B,0
1000884969ns,h4,h32,1,2,79105B,0
1000890209ns,h16,h19,1,2,4635B,0
1000891602ns,h8,h21,1,1,5545B,0
1000892322ns,h20,h12,1,4,16638B,0
1000894830ns,h27,h14,1,1,1086B,0
1000895054ns,h13,h18,1,1,7558B,0
1000895459ns,h10,h31,1,2,2221B,0
1000904348ns,h10,h32,1,2,4499B,0
1000910447ns,h3,h17,1,1,19868B,0
1000915255ns,h31,h5,1,2,968B,0
1000917112ns,h9,h20,1,2,626B,0
1000918329ns,h30,h7,1,3,5629B,0
1000920722ns,h7,h32,1,1,6269B,0
1000923514ns,h19,h4,1,2,25286B,0
1000926500ns,h19,h15,1,1,9760B,0
1000939419ns,h22,h5,1,2,7839B,0
1000939591ns,h15,h29,1,2,2640B,0
1000943846ns,h18,h10,1,2,1061341B,0
1000955564ns,h9,h31,1,2,5571B,0
1000958076ns,h30,h12,1,2,7305B,0
1000958307ns,h3,h23,1,2,5360B,0
1000958453ns,h27,h15,1,1,820B,0
1000971274ns,h2,h32,1,3,6088B,0
1000981897ns,h30,h7,1,4,2640B,0
1000994750ns,h27,h14,1,2,566B,0
1000001346ns,h16,h14,2,1,22218B,0
1000001399ns,h4,h13,2,1,12621B,0
1000001546ns,h13,h7,2,1,5653B,0
1000001688ns,h8,h5,2,1,4255B,0
1000002424ns,h6,h9,2,1,6437B,0
1000002548ns,h3,h7,2,1,5518B,0
1000003023ns,h9,h13,2,1,14434B,0
1000003281ns,h12,h5,2,1,4639B,0
1000003344ns,h5,h8,2,1,6137B,0
1000004089ns,h10,h15,2,1,7060B,0
1000004158ns,h6,h9,2,2,35569B,0
1000004499ns,h15,h5,2,1,6380B,0
1000004584ns,h10,h13,2,1,4454B,0
1000006328ns,h5,h10,2,1,12470B,0
1000006584ns,h14,h5,2,1,7362B,0
1000006626ns,h2,h15,2,1,4183B,0
1000006817ns,h6,h16,2,1,37277B,0
1000007153ns,h7,h13,2,1,784529B,0
1000008226ns,h6,h15,2,1,16668B,0
1000008660ns,h3,h5,2,1,31588B,0
1000008661ns,h12,h15,2,1,4698B,0
1000008690ns,h1,h11,2,1,10647B,0
1000008726ns,h3,h8,2,1,31048B,0
1000008907ns,h15,h2,2,1,7929B,0
1000009308ns,h13,h7,2,2,6098B,0
1000009313ns,h13,h10,2,1,1756B,0
1000009611ns,h14,h15,2,1,5770B,0
1000011066ns,h1,h16,2,1,7298B,0
1000011150ns,h11,h8,2,1,40691B,0
1000011942ns,h6,h14,2,1,125839B,0
1000012371ns,h1,h5,2,1,6140B,0
1000012490ns,h13,h9,2,1,25608B,0
1000012545ns,h8,h1,2,1,4269B,0
1000012579ns,h16,h12,2,1,15924B,0
1000012987ns,h11,h7,2,1,6760B,0
1000013361ns,h1,h14,2,1,244B,0
1000013724ns,h9,h11,2,1,9937B,0
1000013818ns,h8,h1,2,2,5465B,0
1000014059ns,h15,h8,2,1,19041B,0
1000014115ns,h9,h14,2,1,7793B,0
1000014601ns,h12,h4,2,1,19B,0
1000014789ns,h7,h6,2,1,6284B,0
1000015140ns,h12,h14,2,1,25980B,0
1000015619ns,h8,h4,2,1,4126B,0
1000015989ns,h2,h10,2,1,4828B,0
1000015990ns,h10,h4,2,1,26445B,0
1000016136ns,h1,h16,2,2,3333B,0
1000016405ns,h13,h8,2,1,6923B,0
1000016862ns,h3,h2,2,1,4080B,0
1000017371ns,h15,h6,2,1,127684B,0
1000018531ns,h7,h9,2,1,15795B,0
1000019055ns,h14,h15,2,2,5889B,0
1000019322ns,h8,h2,2,1,1403B,0
1000019619ns,h10,h9,2,1,4784B,0
1000020121ns,h15,h12,2,1,6408B,0
1000020371ns,h4,h9,2,1,61420B,0
1000020579ns,h11,h14,2,1,1902B,0
1000020722ns,h13,h9,2,2,6782B,0
1000020866ns,h12,h16,2,1,9014B,0
1000020999ns,h3,h10,2,1,6749B,0
1000021101ns,h15,h10,2,1,17357B,0
1000021220ns,h10,h8,2,1,6687B,0
1000021324ns,h14,h10,2,1,120372B,0
1000021336ns,h4,h7,2,1,7231B,0
1000021438ns,h3,h10,2,2,7096B,0
1000021488ns,h6,h5,2,1,5864B,0
1000022205ns,h5,h4,2,1,7171B,0
1000022767ns,h7,h3,2,1,5344B,0
1000023325ns,h8,h10,2,1,6993B,0
1000023857ns,h2,h11,2,1,4527B,0
1000023889ns,h12,h8,2,1,3303B,0
1000025010ns,h11,h2,2,1,3257B,0
1000025085ns,h7,h13,2,2,7314B,0
1000025363ns,h2,h15,2,2,7693B,0
1000025715ns,h13,h15,2,1,6136B,0
1000025838ns,h5,h14,2,1,1566B,0
1000026728ns,h9,h15,2,1,12596B,0
1000027720ns,h15,h9,2,1,27467B,0
1000028589ns,h16,h7,2,1,51535B,0
1000029031ns,h8,h12,2,1,21900B,0
1000029525ns,h2,h5,2,1,30940B,0
1000029525ns,h9,h13,2,2,51223B,0
1000029886ns,h5,h14,2,2,6690B,0
1000029926ns,h9,h15,2,2,5400B,0
1000029968ns,h4,h10,2,1,8925B,0
1000030999ns,h10,h16,2,1,4400B,0
1000031642ns,h1,h10,2,1,16897B,0
1000031686ns,h12,h8,2,2,23040B,0
1000032108ns,h3,h11,2,1,30432B,0
1000032689ns,h3,h16,2,1,7115B,0
1000032762ns,h15,h13,2,1,92572B,0
1000032942ns,h1,h2,2,1,7028B,0
1000033038ns,h9,h10,2,1,5912B,0
1000033322ns,h14,h8,2,1,7724B,0
1000033468ns,h6,h11,2,1,1735776B,0
1000033817ns,h14,h4,2,1,44801B,0
1000033852ns,h3,h12,2,1,15103B,0
1000033855ns,h11,h2,2,2,1436B,0
1000034068ns,h3,h4,2,1,7314B,0
1000034207ns,h6,h13,2,1,6222B,0
1000034317ns,h5,h6,2,1,7464B,0
1000034613ns,h4,h14,2,1,22324B,0
1000034739ns,h4,h2,2,1,4118B,0
1000034830ns,h1,h3,2,1,10764B,0
1000035613ns,h7,h12,2,1,2043B,0
1000036889ns,h2,h1,2,1,3845B,0
1000037775ns,h6,h10,2,1,15191B,0
1000037827ns,h12,h15,2,2,4892B,0
1000037839ns,h11,h9,2,1,17592B,0
1000038012ns,h11,h1,2,1,1755B,0
1000038114ns,h11,h10,2,1,2553B,0
1000039184ns,h1,h10,2,2,8390B,0
1000039207ns,h2,h7,2,1,789B,0
1000039404ns,h14,h6,2,1,6978B,0
1000039446ns,h4,h16,2,1,37559B,0
1000039620ns,h7,h1,2,1,6635B,0
1000039647ns,h5,h1,2,1,7900B,0
1000039685ns,h13,h16,2,1,465B,0
1000039709ns,h10,h3,2,1,7506B,0
1000039754ns,h5,h2,2,1,7258B,0
1000039824ns,h2,h4,2,1,6996B,0
1000039934ns,h6,h13,2,2,5399B,0
1000040139ns,h1,h15,2,1,5217B,0
1000040154ns,h15,h1,2,1,624333B,0
1000040208ns,h10,h7,2,1,634B,0
1000040508ns,h14,h2,2,1,377B,0
1000040653ns,h8,h5,2,2,114827B,0
1000040695ns,h14,h4,2,2,3226B,0
1000040942ns,h9,h11,2,2,2161B,0
1000040989ns,h2,h6,2,1,3673B,0
1000041082ns,h15,h3,2,1,15624B,0
1000041149ns,h8,h9,2,1,67297B,0
1000041159ns,h5,h1,2,2,397B,0
1000041980ns,h9,h2,2,1,5696B,0
1000042153ns,h1,h16,2,3,1770B,0
1000042274ns,h13,h4,2,1,4264B,0
1000042847ns,h9,h6,2,1,3852B,0
1000043063ns,h2,h12,2,1,7609B,0
1000043126ns,h9,h14,2,2,5045B,0
1000043479ns,h10,h15,2,2,3145B,0
1000044796ns,h6,h3,2,1,6371B,0
1000045315ns,h3,h11,2,2,686B,0
1000045436ns,h10,h16,2,2,1760B,0
1000046143ns,h6,h1,2,1,1169315B,0
1000046980ns,h4,h11,2,1,3477B,0
1000047040ns,h6,h14,2,2,5117B,0
1000047225ns,h15,h6,2,2,10771B,0
1000047368ns,h1,h5,2,2,21229B,0
1000048163ns,h10,h8,2,2,46412B,0
1000048329ns,h2,h3,2,1,2955B,0
1000049503ns,h6,h8,2,1,7831B,0
1000049557ns,h3,h7,2,2,125726B,0
1000049660ns,h8,h10,2,2,1012B,0
1000049905ns,h10,h9,2,2,7862B,0
1000049959ns,h4,h5,2,1,22381B,0
1000049963ns,h10,h6,2,1,4976B,0
1000050392ns,h2,h14,2,1,4184B,0
1000050610ns,h2,h5,2,2,7176B,0
1000050686ns,h1,h9,2,1,5841B,0
1000050906ns,h3,h1,2,1,3049B,0
1000051157ns,h15,h12,2,2,6094B,0
1000051846ns,h9,h6,2,2,5560B,0
1000051874ns,h10,h1,2,1,6937B,0
1000051968ns,h1,h5,2,3,6414B,0
1000052150ns,h2,h4,2,2,4709B,0
1000052530ns,h7,h16,2,1,5105B,0
1000052868ns,h5,h6,2,2,21121B,0
1000053185ns,h15,h5,2,2,4186B,0
1000053270ns,h11,h6,2,1,6863B,0
1000053431ns,h9,h16,2,1,216B,0
1000053501ns,h8,h11,2,1,11471B,0
1000053508ns,h8,h10,2,3,4921B,0
1000053952ns,h10,h12,2,1,797B,0
