StartTime,FromNode,ToNode,SourcePort,DestinationPort,Size,Priority
1003697066ns,h19,h20,1,1,2477392B,0
1003713982ns,h19,h32,1,1,6707B,0
1003723963ns,h19,h23,1,2,9757B,0
1003828629ns,h17,h18,1,1,981365B,0
1003830636ns,h18,h17,1,2,3015B,0
1003850118ns,h30,h20,1,2,155198B,0
1003854180ns,h20,h25,1,1,5715429B,0
1003871219ns,h23,h19,1,2,87196B,0
1003873778ns,h21,h24,1,1,844713B,0
1003877470ns,h29,h19,1,1,1779B,0
1003879896ns,h26,h28,1,1,479999B,0
1003884294ns,h21,h30,1,1,250707B,0
1003890994ns,h18,h22,1,1,158776B,0
1003901911ns,h22,h18,1,2,48241B,0
1003921964ns,h17,h31,1,2,44027B,0
1003923363ns,h31,h18,1,1,17011100B,0
1003928736ns,h26,h20,1,1,2426B,0
1003958019ns,h30,h29,1,1,1442B,0
1003972033ns,h24,h23,1,2,9359377B,0
1003976352ns,h30,h25,1,3,16994B,0
1004000423ns,h25,h28,1,2,8259B,0
1004004860ns,h18,h32,1,2,21057B,0
1004014099ns,h31,h22,1,2,2022397B,0
1004020579ns,h24,h23,1,3,7640654B,0
1004021648ns,h21,h18,1,2,1518B,0
1004101883ns,h25,h22,1,1,55912B,0
1004118751ns,h17,h22,1,1,6766B,0
1004130489ns,h29,h27,1,2,25991B,0
1004186595ns,h25,h20,1,1,22082B,0
1004207486ns,h18,h31,1,1,575405B,0
1004213885ns,h25,h22,1,2,40058B,0
1004248373ns,h26,h17,1,1,16063B,0
1004376989ns,h22,h32,1,2,73916B,0
1004427734ns,h27,h30,1,1,2625B,0
1004439588ns,h26,h28,1,2,6728B,0
1004508686ns,h22,h29,1,1,22156765B,0
1004590326ns,h20,h25,1,2,19871B,0
1004596371ns,h22,h21,1,4,41711B,0
1004614300ns,h31,h17,1,1,1315983B,0
1004628336ns,h17,h31,1,3,3149796B,0
1004706068ns,h26,h19,1,1,6320147B,0
1004722063ns,h18,h27,1,2,13884B,0
1004837074ns,h22,h18,1,3,781124B,0
1004842222ns,h27,h25,1,2,9753493B,0
1004852099ns,h24,h21,1,1,3870B,0
1004876354ns,h26,h24,1,1,809614B,0
1004881443ns,h20,h32,1,2,3362737B,0
1004882064ns,h26,h28,1,3,38462B,0
1004923692ns,h18,h26,1,1,25068B,0
1004945036ns,h18,h28,1,1,194499B,0
1004952559ns,h17,h21,1,1,59764B,0
1004974068ns,h27,h26,1,1,14963B,0
1004998491ns,h31,h29,1,1,66528B,0
1005065892ns,h25,h30,1,1,52285B,0
1005068862ns,h26,h19,1,2,147050B,0
1005077871ns,h17,h23,1,1,75061B,0
1005095503ns,h18,h27,1,3,32289B,0
1005132584ns,h23,h22,1,1,41430B,0
1005165644ns,h21,h24,1,2,3129835B,0
1005196636ns,h31,h24,1,2,25093B,0
1005204762ns,h19,h31,1,1,132457B,0
1005220819ns,h25,h29,1,1,829B,0
1005227362ns,h24,h30,1,1,1415743B,0
1005228058ns,h24,h18,1,1,37183B,0
1005271948ns,h26,h29,1,1,3046B,0
1005325520ns,h24,h30,1,2,28088B,0
1005343358ns,h32,h18,1,1,24013B,0
1005420719ns,h31,h22,1,3,8794952B,0
1005448968ns,h19,h31,1,2,40445B,0
1005450404ns,h24,h19,1,2,28787B,0
1005457707ns,h26,h25,1,2,41840B,0
1005493189ns,h28,h22,1,3,8350416B,0
1005498929ns,h20,h31,1,1,469982B,0
1005553859ns,h18,h32,1,3,368614B,0
1005575419ns,h23,h17,1,1,1156193B,0
1005637868ns,h31,h18,1,2,47603B,0
1005659730ns,h31,h32,1,1,53327B,0
1005666719ns,h22,h27,1,1,606662B,0
1005680959ns,h29,h26,1,3,101B,0
1005700975ns,h25,h31,1,1,18461B,0
1005701904ns,h26,h18,1,2,36880B,0
1005728023ns,h28,h30,1,1,23941B,0
1005739456ns,h21,h23,1,2,499195B,0
1005759267ns,h29,h19,1,2,45729B,0
1005801042ns,h18,h21,1,2,4262701B,0
1005803646ns,h22,h17,1,1,145402B,0
1005806286ns,h32,h29,1,2,53324B,0
1005833578ns,h24,h30,1,3,50523B,0
1005928702ns,h31,h27,1,2,1018296B,0
1005974337ns,h22,h17,1,2,54206B,0
1006003676ns,h30,h23,1,2,697567B,0
1006006733ns,h26,h17,1,2,3118B,0
1006043166ns,h25,h17,1,1,60465B,0
1006051133ns,h20,h23,1,1,25922B,0
1006070672ns,h23,h20,1,3,11537B,0
1006090905ns,h20,h23,1,2,79439B,0
1006093334ns,h32,h26,1,1,70138B,0
1006098710ns,h30,h25,1,4,133837B,0
1006104123ns,h28,h22,1,4,1554847B,0
1006112430ns,h18,h20,1,1,4516254B,0
1006222038ns,h18,h32,1,4,71826B,0
1006277555ns,h28,h29,1,1,32411B,0
1006278632ns,h28,h19,1,2,65436B,0
1006327824ns,h32,h17,1,1,2271375B,0
1006370613ns,h27,h25,1,3,4250489B,0
1006382191ns,h21,h31,1,1,2372447B,0
1006399434ns,h19,h20,1,2,17600B,0
1006417523ns,h17,h25,1,1,29613572B,0
1006417570ns,h27,h21,1,1,464710B,0
1006439957ns,h21,h28,1,2,5564B,0
1006500701ns,h25,h20,1,2,1255543B,0
1006548872ns,h25,h21,1,1,21214320B,0
1006567466ns,h27,h25,1,4,50419B,0
1006589139ns,h24,h17,1,1,828120B,0
1006616559ns,h30,h18,1,1,33235B,0
1006627856ns,h24,h18,1,2,21352B,0
1006660711ns,h23,h25,1,1,1173241B,0
1006670762ns,h32,h27,1,3,157B,0
1006738021ns,h22,h28,1,1,2681942B,0
1006741793ns,h29,h18,1,2,79618B,0
1006763128ns,h30,h32,1,2,6518B,0
1006798066ns,h27,h31,1,1,7926B,0
1006798594ns,h18,h30,1,1,594123B,0
1006803368ns,h22,h28,1,2,4209614B,0
1006877546ns,h19,h22,1,2,27998B,0
1006877680ns,h31,h23,1,1,15676791B,0
1006886101ns,h19,h29,1,2,6678B,0
1006896623ns,h31,h26,1,2,3618143B,0
1006903146ns,h24,h17,1,2,49339B,0
1006952268ns,h22,h21,1,5,5423B,0
1006992582ns,h27,h21,1,2,27471B,0
1007068129ns,h28,h25,1,1,62225B,0
1007077551ns,h29,h27,1,3,1923415B,0
1007087711ns,h28,h27,1,1,3840797B,0
1007243219ns,h30,h28,1,1,8894B,0
1007269561ns,h31,h19,1,3,77892B,0
1007361553ns,h17,h27,1,2,606265B,0
1007378003ns,h23,h18,1,1,39410B,0
1007407486ns,h19,h18,1,1,4155915B,0
1007426731ns,h25,h22,1,3,27840B,0
1007572419ns,h32,h21,1,1,1238B,0
1007620105ns,h19,h26,1,2,2710B,0
1007639143ns,h28,h29,1,2,847974B,0
1007643221ns,h28,h21,1,2,128609B,0
1007678743ns,h32,h26,1,2,8321611B,0
1007708586ns,h29,h20,1,1,7745628B,0
1007717933ns,h28,h32,1,3,5703655B,0
1007729332ns,h30,h24,1,2,2800B,0
1007736204ns,h18,h26,1,2,1491348B,0
1007779036ns,h25,h22,1,4,1013248B,0
1007798236ns,h25,h19,1,2,642894B,0
1007838169ns,h31,h26,1,3,1123576B,0
1007844395ns,h23,h29,1,1,5193582B,0
1007863821ns,h32,h27,1,4,521129B,0
1007879901ns,h25,h26,1,2,44489B,0
1007917741ns,h30,h20,1,3,93592B,0
1008000383ns,h23,h20,1,4,20784B,0
1008023782ns,h19,h32,1,2,177929B,0
1008066448ns,h20,h32,1,3,593B,0
1008076225ns,h30,h27,1,1,10204B,0
1008089018ns,h20,h27,1,1,36681B,0
1008090653ns,h27,h20,1,2,1896231B,0
1008092983ns,h32,h20,1,1,1184994B,0
1008124193ns,h27,h32,1,1,37651B,0
1008148840ns,h19,h30,1,1,364304B,0
1008166554ns,h30,h18,1,2,2746B,0
1008178391ns,h18,h26,1,3,12772B,0
1008192463ns,h21,h27,1,1,17942713B,0
1008214329ns,h30,h21,1,1,28953B,0
1008224399ns,h22,h29,1,2,48958B,0
1008239345ns,h24,h19,1,3,111687B,0
1008242752ns,h25,h19,1,3,29340B,0
1008296390ns,h28,h19,1,3,68014B,0
1008297096ns,h23,h24,1,1,23970B,0
1008305937ns,h27,h18,1,2,3217B,0
1008328506ns,h32,h29,1,3,15917B,0
1008393283ns,h19,h17,1,2,78396B,0
1008419943ns,h29,h20,1,2,4724B,0
1008424837ns,h17,h29,1,1,50731B,0
1008426861ns,h20,h26,1,1,35704B,0
1008469942ns,h27,h32,1,2,53397B,0
1008485640ns,h21,h23,1,3,6626B,0
1008516717ns,h21,h30,1,2,5618396B,0
1008540359ns,h25,h19,1,4,67077B,0
1008550844ns,h23,h28,1,1,3225449B,0
1008557088ns,h21,h24,1,3,14152971B,0
1008560684ns,h21,h25,1,1,38730B,0
1008579641ns,h23,h22,1,2,68250B,0
1008641756ns,h20,h30,1,2,996762B,0
1008789105ns,h21,h23,1,4,56123B,0
1008845187ns,h28,h20,1,1,30380B,0
1008874546ns,h17,h19,1,2,1347509B,0
1008913362ns,h20,h17,1,2,4831993B,0
1008913629ns,h23,h31,1,2,6406346B,0
1008934736ns,h27,h20,1,3,413936B,0
1009053022ns,h30,h32,1,3,45114B,0
1009072705ns,h27,h29,1,1,13040347B,0
1009095140ns,h21,h25,1,2,511028B,0
1009123264ns,h23,h18,1,2,4388B,0
1009164335ns,h20,h23,1,3,5644B,0
1009246399ns,h28,h29,1,3,1498695B,0
1009270460ns,h18,h28,1,2,4077B,0
1009297741ns,h21,h20,1,3,523B,0
1009330197ns,h27,h32,1,3,48761B,0
1009355510ns,h21,h29,1,1,77462B,0
1009393514ns,h17,h30,1,2,61202B,0
1009413142ns,h17,h27,1,3,70450B,0
1009419163ns,h19,h32,1,3,174094B,0
1009461481ns,h21,h32,1,2,834420B,0
1009491372ns,h19,h23,1,3,55316B,0
1009520551ns,h28,h24,1,3,43666B,0
1009524127ns,h17,h27,1,4,22306038B,0
1009570745ns,h29,h21,1,1,26091B,0
1009599006ns,h17,h29,1,2,1771001B,0
1009737993ns,h30,h24,1,3,57204B,0
1000526348ns,h16,h23,2,1,3332655B,0
1000546947ns,h4,h23,2,1,1579544B,0
1000604294ns,h13,h20,2,1,54747B,0
1000659709ns,h8,h22,2,1,25891B,0
1000947499ns,h6,h23,2,1,75678B,0
1000996108ns,h3,h23,2,1,51138B,0
1001181727ns,h9,h22,2,1,1837985B,0
1001282415ns,h12,h23,2,1,30662B,0
1001306856ns,h5,h22,2,1,67676B,0
1001598235ns,h10,h21,2,1,171512B,0
1001625204ns,h6,h21,2,1,5579491B,0
1001758345ns,h15,h22,2,1,74158B,0
1001791975ns,h10,h21,2,2,28183B,0
1002473114ns,h5,h20,2,1,1558042B,0
1002573327ns,h14,h22,2,1,346951B,0
1002589471ns,h2,h21,2,1,25050B,0
1002664667ns,h6,h22,2,1,5696161B,0
1002795579ns,h7,h20,2,1,18523650B,0
1003215498ns,h6,h20,2,1,2306517B,0
1003384940ns,h3,h22,2,1,5154710B,0
1003385130ns,h12,h23,2,2,32029B,0
1003396228ns,h1,h20,2,1,1298317B,0
1003410752ns,h3,h22,2,2,4965148B,0
1003481250ns,h15,h23,2,1,871871B,0
1003637770ns,h13,h22,2,1,66648B,0
1003639857ns,h13,h21,2,1,6713B,0
1003756494ns,h14,h23,2,1,57885B,0
1004325079ns,h1,h23,2,1,287095B,0
1004357425ns,h11,h22,2,1,5929360B,0
1004667772ns,h6,h20,2,2,9757597B,0
1004835434ns,h1,h20,2,2,67771B,0
1004881785ns,h13,h20,2,2,3959297B,0
1004902664ns,h8,h23,2,1,26049B,0
1005075411ns,h11,h23,2,1,2150834B,0
1005222476ns,h1,h22,2,1,112055B,0
1005363629ns,h9,h21,2,1,936B,0
1005400281ns,h8,h22,2,2,1197046B,0
1005494742ns,h15,h20,2,1,49764B,0
1005706792ns,h12,h21,2,1,2745349B,0
1005779813ns,h7,h21,2,1,745225B,0
1005917573ns,h12,h21,2,2,76B,0
1006104390ns,h8,h23,2,2,71594B,0
1006248860ns,h2,h20,2,1,4028083B,0
1006249391ns,h10,h20,2,1,24391B,0
1006411775ns,h13,h23,2,1,35040B,0
1006590635ns,h3,h20,2,1,4114136B,0
1006789187ns,h15,h22,2,2,18213B,0
1007242503ns,h7,h22,2,1,144304B,0
1007447224ns,h14,h20,2,1,23861B,0
1007551581ns,h8,h22,2,3,9824303B,0
1007667940ns,h10,h21,2,3,2095384B,0
1007863883ns,h15,h22,2,3,61069B,0
1007961454ns,h4,h23,2,2,5363B,0
1008042422ns,h11,h20,2,1,34010B,0
1008155590ns,h12,h22,2,1,74909B,0
1008207520ns,h3,h21,2,1,7345273B,0
1008898172ns,h7,h20,2,2,7270B,0
1009323673ns,h2,h21,2,2,116458B,0
